fid,Hg_con_PPB,Species,Location type,Forest type,Location type_1,time_bnds_1,Land cover/use,SoilQualityData; Nutrient availability,SoilQualityData; Excess salts,SoilQualityData; Workability,SoilQualityData; Toxicity,SoilQualityData; Rooting contitions,SoilQualityData; Oxygen availability to roots,SoilQualityData; Nutrient retention capacity,SoilLandCoverData; barren/very sparsely vegetated land,SoilLandCoverData; grass/scrub/woodland,"SoilLandCoverData; forest land, calibrated to FRA2000 land statistics",SoilLandCoverData; rain-fed cultivated land,"SoilLandCoverData; irrigated cultivated land, according to GMIA 4.0",SoilLandCoverData; total cultivated land,SoilLandCoverData; mapped water bodies,SoilLandCoverData; built-up land (residential and infrastructure),10m_Elevation
60,3000,Genera 1. Agrostis sp.,artisanal small-scale gold mines,grass,artisanal small-scale gold mines,,21,2,1,2,1,2,1,2,41.9855957,57.72144318,0.258759499,0,0,0,0,0.034200002,4564
61,9800,Genera 1. aff. Achyrocline,artisanal small-scale gold mines,grass,artisanal small-scale gold mines,,21,2,1,2,1,2,1,2,41.9855957,57.72144318,0.258759499,0,0,0,0,0.034200002,4564
62,3200,Genera 2. Perezia multiflora,artisanal small-scale gold mines,grass,artisanal small-scale gold mines,,21,2,1,2,1,2,1,2,41.9855957,57.72144318,0.258759499,0,0,0,0,0.034200002,4564
63,2100,Genera 3: Baccharis aff. Caespitosa,artisanal small-scale gold mines,grass,artisanal small-scale gold mines,,21,2,1,2,1,2,1,2,41.9855957,57.72144318,0.258759499,0,0,0,0,0.034200002,4564
64,3300,Species 1. Lachemilla pinnata,artisanal small-scale gold mines,grass,artisanal small-scale gold mines,,21,2,1,2,1,2,1,2,41.9855957,57.72144318,0.258759499,0,0,0,0,0.034200002,4564
65,700,Species 1. Aciachne acicularis,artisanal small-scale gold mines,grass,artisanal small-scale gold mines,,21,2,1,2,1,2,1,2,41.9855957,57.72144318,0.258759499,0,0,0,0,0.034200002,4564
66,600,Genera 1. Agrostis sp.,artisanal small-scale gold mines,grass,artisanal small-scale gold mines,,21,2,1,2,1,2,1,2,41.9855957,57.72144318,0.258759499,0,0,0,0,0.034200002,4564
67,600,Genera 1. aff. Achyrocline,artisanal small-scale gold mines,grass,artisanal small-scale gold mines,,21,2,1,2,1,2,1,2,41.9855957,57.72144318,0.258759499,0,0,0,0,0.034200002,4564
68,1200,Genera 2. Perezia multiflora,artisanal small-scale gold mines,grass,artisanal small-scale gold mines,,21,2,1,2,1,2,1,2,41.9855957,57.72144318,0.258759499,0,0,0,0,0.034200002,4564
69,300,Genera 3: Baccharis aff. Caespitosa,artisanal small-scale gold mines,grass,artisanal small-scale gold mines,,21,2,1,2,1,2,1,2,41.9855957,57.72144318,0.258759499,0,0,0,0,0.034200002,4564
